1999,Janet McTeer,Tumbleweeds,Mary Jo Walker
1999,Julianne Moore,The End of the Affair,Sarah Miles
1999,Meryl Streep,Music of the Heart,Roberta Guaspari
1999,Hilary Swank Award winner,Boys Don't Cry,Brandon Teena
2000,Joan Allen,The Contender,Laine Hanson
2000,Juliette Binoche,Chocolat,Vianne Rocher
2000,Ellen Burstyn,Requiem for a Dream,Sara Goldfarb
2000,Laura Linney,You Can Count on Me,Sammy Prescott
2000,Julia Roberts Award winner,Erin Brockovich,Erin Brockovich
2001,Halle Berry Award winner,Monster's Ball,Leticia Musgrove
2001,Judi Dench,Iris,Iris Murdoch
2001,Nicole Kidman,Moulin Rouge!,Satine
2001,Sissy Spacek,In the Bedroom,Ruth Fowler
2001,Ren_e Zellweger,Bridget Jones's Diary,Bridget Jones
2002,Salma Hayek,Frida,Frida Kahlo
2002,Nicole Kidman Award winner,The Hours,Virginia Woolf
2002,Diane Lane,Unfaithful,Constance 'Connie' Sumner
2002,Julianne Moore,Far from Heaven,Cathy Whitaker
2002,Ren_e Zellweger,Chicago,Roxie Hart
2003,Keisha Castle-Hughes,Whale Rider,Paikea Apirana
2003,Diane Keaton,Something's Gotta Give,Erika Berry
2003,Samantha Morton,In America,Sarah Sullivan
2003,Charlize Theron Award winner,Monster,Aileen Wuornos
2003,Naomi Watts,21 Grams,"Cristina ""Cris"" Williams-Peck"
2004,Annette Bening,Being Julia,Julia Lambert
2004,Catalina Sandino Moreno,Maria Full of Grace,Maria Alvarez
2004,Imelda Staunton,Vera Drake,Vera Rose Drake
2004,Hilary Swank Award winner,Million Dollar Baby,Maggie Fitzgerald
2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clementine Kruczynski
2005,Judi Dench,Mrs Henderson Presents,Laura Henderson
2005,Felicity Huffman,Transamerica,"Sabrina ""Bree"" Osbourne / Stanley Schupak"
2005,Keira Knightley,Pride & Prejudice,Elizabeth Bennet
2005,Charlize Theron,North Country,Josey Aimes
2005,Reese Witherspoon Award winner,Walk the Line,June Carter
2006,Pen_lope Cruz,Volver,Raimunda
2006,Judi Dench,Notes on a Scandal,Barbara Covett
2006,Helen Mirren Award winner,The Queen,Queen Elizabeth II
2006,Meryl Streep,The Devil Wears Prada,Miranda Priestly
2006,Kate Winslet,Little Children,Sarah Pierce
2007,Cate Blanchett,Elizabeth: The Golden Age,Queen Elizabeth I of England
2007,Julie Christie,Away from Her,Fiona Anderson
2007,Marion Cotillard Award winner,La Vie en Rose,Edith Piaf
2007,Laura Linney,The Savages,Wendy Savage
2007,Ellen Page,Juno,Juno MacGuff
2008,Anne Hathaway,Rachel Getting Married,Kym Buchman
2008,Angelina Jolie,Changeling,Christine Dunne Collins
2008,Melissa Leo,Frozen River,Ray Eddy
2008,Meryl Streep,Doubt,Aloysius Beauvier
2008,Kate Winslet Award winner,The Reader,Hanna Schmitz
2009,Sandra Bullock Award winner,The Blind Side,Leigh Anne Tuohy
2009,Helen Mirren,The Last Station,Sophia Tolstaya
2009,Carey Mulligan,An Education,Jenny Mellor
2009,Gabourey Sidibe,Precious,"Claireece ""Precious"" Jones"
2009,Meryl Streep,Julie & Julia,Julia Child
2010,Annette Bening,The Kids Are All Right,"Nicole ""Nic"" Allgood"
2010,Nicole Kidman,Rabbit Hole,Becca Corbett
2010,Jennifer Lawrence,Winter's Bone,Ree Dolly
2010,Natalie Portman Award winner,Black Swan,Nina Sayers
2010,Michelle Williams,Blue Valentine,"Cynthia ""Cindy"" Heller"
2011,Glenn Close,Albert Nobbs,Albert Nobbs
2011,Viola Davis,The Help,Aibileen Clark
2011,Rooney Mara,The Girl with the Dragon Tattoo,Lisbeth Salander
2011,Meryl Streep Award winner,The Iron Lady,Margaret Thatcher
2011,Michelle Williams,My Week with Marilyn,Marilyn Monroe
2012,Jessica Chastain,Zero Dark Thirty,Maya
2012,Jennifer Lawrence Award winner,Silver Linings Playbook,Tiffany Maxwell
2012,Emmanuelle Riva,Amour,Anne Laurent
2012,Quvenzhan_ Wallis,Beasts of the Southern Wild,Hushpuppy
2012,Naomi Watts,The Impossible,Maria Bennett
2013,Amy Adams,American Hustle,Sydney Prosser/Edith Greensly
2013,Cate Blanchett Award winner,Blue Jasmine,"Jeanette ""Jasmine"" Francis"
2013,Sandra Bullock,Gravity,Ryan Stone
2013,Judi Dench,Philomena,Philomena Lee
2013,Meryl Streep,August: Osage County,Violet Weston
2014,Marion Cotillard,Two Days One Night,Sandra Bya
2014,Felicity Jones,The Theory of Everything,Jane Wilde Hawking
2014,Julianne Moore Award winner,Still Alice,Alice Howland
2014,Rosamund Pike,Gone Girl,Amy Elliott-Dunne
2014,Reese Witherspoon,Wild,Cheryl Strayed
